category,title,author,description
movies,Inception,Christopher Nolan,"A mind-bending sci-fi film about dreams within dreams."
movies,The Matrix,The Wachowskis,"A cyberpunk classic questioning reality and human freedom."
movies,Interstellar,Christopher Nolan,"A visually stunning space odyssey about love and survival."
movies,The Dark Knight,Christopher Nolan,"A masterpiece featuring the legendary performance of Heath Ledger as the Joker."
movies,Parasite,Bong Joon-ho,"A thrilling social satire about class struggle."
movies,The Shawshank Redemption,Frank Darabont,"An inspiring story about hope and friendship in prison."
movies,Forrest Gump,Robert Zemeckis,"A heartwarming journey through history with a simple yet extraordinary man."
movies,The Godfather,Francis Ford Coppola,"An epic tale of power, family, and crime."
movies,Pulp Fiction,Quentin Tarantino,"A unique non-linear storytelling experience with sharp dialogue."
movies,"The Lord of the Rings: The Return of the King",Peter Jackson,"The epic conclusion to the greatest fantasy saga."

music,Bohemian Rhapsody,Queen,"A rock opera masterpiece with powerful vocals and storytelling."
music,Imagine,John Lennon,"A timeless song about peace and hope for a better world."
music,Hotel California,Eagles,"A hauntingly beautiful song about the American Dream."
music,Stairway to Heaven,Led Zeppelin,"A legendary song blending rock and mysticism."
music,Shape of You,Ed Sheeran,"A modern pop hit with catchy melodies and rhythm."
music,Rolling in the Deep,Adele,"A soulful and powerful song about heartbreak and resilience."
music,Blinding Lights,The Weeknd,"An 80s-inspired synth-pop hit with a nostalgic feel."
music,Someone Like You,Adele,"A touching ballad about lost love and moving on."
music,Smells Like Teen Spirit,Nirvana,"The anthem of a generation, defining grunge music."
music,Billie Jean,Michael Jackson,"A groundbreaking hit with a legendary bassline and mystery."

books,1984,George Orwell,"A dystopian masterpiece warning against totalitarianism and surveillance."
books,To Kill a Mockingbird,Harper Lee,"A moving novel about racial injustice and moral growth."
books,The Great Gatsby,F. Scott Fitzgerald,"A critique of the American Dream and excess."
books,The Catcher in the Rye,J.D. Salinger,"A rebellious coming-of-age story with deep themes."
books,The Hobbit,J.R.R. Tolkien,"A charming adventure that laid the foundation for fantasy literature."
books,"Harry Potter and the Sorcerer's Stone",J.K. Rowling,"The magical beginning of the most famous fantasy series."
books,The Lord of the Rings,J.R.R. Tolkien,"An epic tale of heroism, friendship, and the battle of good vs evil."
books,Pride and Prejudice,Jane Austen,"A timeless romantic novel with sharp social commentary."
books,The Da Vinci Code,Dan Brown,"A thrilling mystery blending art, history, and conspiracy."
books,The Alchemist,Paulo Coelho,"An inspiring novel about destiny and following one's dreams."
